system:index,date,dewpoint_mean,month,precipitation,season_year,soil_moisture,temperature_max,temperature_mean,temperature_min,u10,v10,wind_speed_max,wind_speed_mean,.geo
0,2018-10-01,2.858899874215446,10,11.00053627746077,2018.0,0.3932692004131517,16.267180086898122,10.667748414337598,6.001719435861117,1.3209055724910985,-2.287916538822389,7.084433378526822,4.102107932136708,"{""type"":""MultiPoint"",""coordinates"":[]}"
1,2018-10-02,5.937247750244647,10,0.0064611972335412585,2018.0,0.37229440303202205,19.158431054736905,12.985808425938496,8.08419445095068,2.4901263922129777,2.4706370917737703,5.430811163974897,3.6255112933945424,"{""type"":""MultiPoint"",""coordinates"":[]}"
2,2018-10-03,8.773328876736496,10,0.001707401850126189,2018.0,0.35976019194437037,20.72740400639995,14.171470190858699,9.445815392704318,1.029988577944676,2.1580313562014055,3.1151478855724326,2.699999774707864,"{""type"":""MultiPoint"",""coordinates"":[]}"
3,2018-10-04,10.054578722961272,10,0.0012814998058274796,2018.0,0.3495248341481335,22.574804354702575,16.08063148201918,11.120919671212189,0.34634004259948037,2.93856985754254,3.964741392561421,3.0061628492529717,"{""type"":""MultiPoint"",""coordinates"":[]}"
4,2018-10-05,7.917566001661075,10,0.0017179796714117401,2018.0,0.3401352011010154,21.088354380569214,14.911081914849781,9.47542142856793,0.9136476699432179,2.209784962627432,4.976766449675869,3.396236866862016,"{""type"":""MultiPoint"",""coordinates"":[]}"
5,2018-10-06,-2.8939543713718843,10,0.0017217577124029049,2018.0,0.3310652980979115,16.051462842593146,9.28317759726196,3.1749113531995383,2.099119545710316,-1.1239867168796542,5.576775707628524,3.549019035337382,"{""type"":""MultiPoint"",""coordinates"":[]}"
6,2018-10-07,-4.053047705776275,10,0.0012965772071816097,2018.0,0.32376522747035313,15.14232031704706,8.751854126887029,3.1290907103196224,2.9551373183898066,1.6517879308840628,6.6457530066021215,3.557043975878557,"{""type"":""MultiPoint"",""coordinates"":[]}"
7,2018-10-08,-2.968883961456188,10,0.0012916362846400792,2018.0,0.3181304436559404,12.506600352907299,6.948614596297199,1.0710571273631628,2.803260092320312,0.13291474206841822,5.642507294172769,2.9374116047128447,"{""type"":""MultiPoint"",""coordinates"":[]}"
8,2018-10-09,-2.409650075614437,10,2.0299619619056806,2018.0,0.31614240696406243,11.427214498052168,7.294063833037292,4.335773371701801,1.0533413396497027,-1.3661847117978734,3.0527753822234627,2.2409524646208583,"{""type"":""MultiPoint"",""coordinates"":[]}"
9,2018-10-10,1.303432925518107,10,3.853020451892945,2018.0,0.35554732051523397,8.201878849185807,5.4710242699583125,3.677445051590934,1.8633830984949211,-2.5554746502108427,5.719252379997419,3.345840033359121,"{""type"":""MultiPoint"",""coordinates"":[]}"
